"Importance_fw","Rank_fw","Variable","Importance_mid","Rank_mid","Importance_df","Rank_df","Importance_tot","Rank_tot","Rank_Avg","Rank_Max","Rank_Min"
4465468641939116,1,"PC1_diff",4811228648539421,1,1131710312872594,2,7230433579522404,1,1.25,2,1
2511240335325136,2,"Att.3rd_Touches",1819965110924317,4,154969221944234,83,2386432842034388,9,24.5,83,2
2166529779463456,3,"PPM_Team.Success",1723323545722273,8,279305849191537,42,2296329919075436,10,15.75,42,3
2069524194600344,4,"plus_per__minus__Team.Success",2883142061108032,2,563742086469456,12,2959559446929415,5,5.75,12,2
2045224620480520,5,"onG_Team.Success",1115287313535980,20,217527672161944,62,1070685368528490,61,37,62,5
1939075268417448,6,"xGplus_per__minus__Team.Success..xG",1960481074952508,3,727299116503554,8,3434525039998074,2,4.75,8,2
1916045391414802,7,"PPA",736379816521272,49,83974263281167.8,126,1517569503446343,31,53.25,126,7
1740849143047724,8,"PC3_diff",1000622550948556,29,1065793031006807,3,3042526899381871,4,11,29,3
1737005365624642,9,"Att.Pen_Touches",1748988375563850,6,388052755469237,18,2295948448764098,11,11,18,6
1552460953702621,10,"np.G_minus_xG_Expected",737147517786255,48,170794481315138,78,1927290893518285,16,38,78,10
1527996177850342,11,"CPA_Carries",1416227778496145,11,260844580391577,47,2784310535548862,6,18.75,47,6
1480669107098076,12,"onxG_Team.Success..xG.",1061347054646414,23,311490339930070,36,1284006703472370,45,29,45,12
1461579327467264,13,"Sh_per_90_Standard",770575224801697,46,737517881132824,7,2092721215907128,14,20,46,7
1315360011118140,14,"Cmp_percent_Short",1215357909391831,16,261004230230216,46,1395047677367003,39,28.75,46,14
1306759986847220,15,"plus_per__minus_90_Team.Success",1746023327727589,7,375616814120363,22,2604462890362885,7,12.75,22,7
1278358553490362,16,"Dist_Standard",504427432911948,77,162630177609018,80,1442616733386287,34,51.75,80,16
1249923031325048,17,"PC2_diff",1485230894709434,9,1250655163302896,1,3207458468798670,3,7.5,17,1
1216155667999362,18,"TO_GCA",1454759577511816,10,3528575788926.75,174,1329516075357402,42,61,174,10
1187320595922584,19,"G.A",1765979539816675,5,43507637412743.9,161,2585272976111242,8,48.25,161,5
1180452195353102,20,"SoT_per_90_Standard",1088358894390503,21,184471445179909,73,1657423115260277,24,34.5,73,20
1165608057229412,21,"On_minus_Off_Team.Success..xG",1393165100623668,12,302060886596612,38,1657505330935766,23,23.5,38,12
1156612385558910,22,"G_minus_xG_Expected",852267087738834,35,203731363436797,66,1505019972887147,32,38.75,66,22
1155867800636243,23,"xGplus_per__minus_90_Team.Success..xG",880740646849895,34,340258012375611,29,2104383094272682,13,24.75,34,13
1143338959294055,24,"A_minus_xAG_Expected",1141093037526943,19,454306130551692,15,1546033468684232,29,21.75,29,15
1100926967433167,25,"Cmp_percent_Total",1029214002520308,26,384370592526234,20,1665528929955767,22,23.25,26,20
965111550785759,26,"Cmp_percent_Long",927594132981736,33,258811445240519,48,1549469215023219,28,33.75,48,26
897506594872576,27,"xG_Expected",329352672555381,110,171354629698696,77,1187899747891824,53,66.75,110,27
893813546017514,28,"Att_Short",927620243573878,32,203010156501706,67,750182700869382,107,58.5,107,28
829247766859996,29,"npxG_Expected",995579424098078,30,129405021716080,98,971650668371273,72,57.25,98,29
825425345673174,30,"PC4_diff",1149962786327576,17,461861060315060,14,1731695430783494,19,20,30,14
816044329438024,31,"Mn_per_MP_Playing.Time",793350906414641,41,304361487122677,37,1358234162587990,41,37.5,41,31
813408197425100,32,"Final_Third_Carries",562622745505922,65,227975596715293,59,1181674940443117,54,52.5,65,32
813078648330119,33,"Subs_Subs",1285444895980474,14,341732294818894,28,1665969056348095,21,24,33,14
809276044323678,34,"Succ_Take",823856664472910,39,89647851041432.4,122,1624715454656754,26,55.25,122,26
794562458014837,35,"Cmp_percent_Medium",1141609668915859,18,299131101509405,40,1573872124414671,27,30,40,18
766047193826898,36,"Att_Take",651997396264821,55,210668598237102,63,1677540260291456,20,43.5,63,20
764606460891462,37,"Nation",1313726452073883,13,328614966088661,31,1867754966768654,17,24.5,37,13
723486501928238,38,"Rec_Receiving",344720865810036,105,323884356692168,34,596101562706386,127,76,127,34
704828755249961,39,"On_minus_Off_Team.Success",760453748221732,47,381924659315867,21,1370507735506148,40,36.75,47,21
704133200261085,40,"GCA90_GCA",1030791193365871,25,83093759645212.8,128,2268675825585940,12,51.25,128,12
674690048654052,41,"Ast",282008508254668,124,21434027297205.1,168,1065892423379710,62,98.75,168,41
673035931043577,42,"Fls",627190843722996,59,947010847739187,5,1412197011794474,36,35.5,59,5
671456686990830,43,"SoT_percent_Standard",790808065971226,42,342492346583405,27,1521972205018458,30,35.5,43,27
668963334773176,44,"G.A_Per",575682192808514,63,92609212080010.8,120,957329800867570,73,75,120,44
668464132293347,45,"Sw_Pass",840149353178499,38,106143099605044,112,803768244268348,96,72.75,112,38
666798690847584,46,"total_diff",936514535707318,31,1006282789132040,4,1927690700188475,15,24,46,4
660578314418114,47,"unSub_Subs",1041095683988838,24,184075719350827,74,1062030605164132,63,52,74,24
639416628995375,48,"npxG.xAG_Per",351376165556954,102,190180263857185,70,848740059992400,89,77.25,102,48
631497915120909,49,"Ast_Per",379821391551810,95,108689323813732,110,897745922887180,82,84,110,49
616871123881481,50,"PrgR_Progression",254226059881565,136,148920189154594,85,1467072645500526,33,76,136,33
599223769430305,51,"PassLive_SCA",358368493628422,100,62264581761073.6,143,1419077197413345,35,82.25,143,35
576779542606528,52,"PrgC_Progression",330943781401998,109,115992077130649,104,1223585656963338,52,79.25,109,52
571645382322652,53,"npxG.xAG_Expected",781286080292152,45,106179164729271,111,1146523033445527,56,66.25,111,45
555050950608247,54,"Dis_Carries",451137789346988,85,86086165148098.2,123,803122147298276,97,89.75,123,54
550724826807859,55,"onGA_Team.Success",661444216683412,53,183864229059434,75,998997253758694,69,63,75,53
547837108439130,56,"PrgC_Carries",369010953292675,98,66715984102931.5,138,1399502185864080,38,82.5,138,38
542448521266774,57,"Tkl_percent_Challenges",1013941248829013,27,349220577122569,26,1404262005762385,37,36.75,57,26
535936028715792,58,"xG.xAG_Per",366471789974498,99,175621302080820,76,800577266759584,98,82.75,99,58
531179976072685,59,"Won_percent_Aerial",676802359674696,52,700552863522906,9,1298825249310702,43,40.75,59,9
529538023223444,60,"SCA90_SCA",1075528325757462,22,239507085331910,55,1825032894685764,18,38.75,60,18
517184102290724,61,"TotDist_Carries",463528081074009,83,247467821776869,51,1274854043569741,46,60.25,83,46
515994156930884,62,"FK_Standard",806716333266166,40,9344283230581.98,172,761378199322678,105,94.75,172,40
514423251528139,63,"TB_Pass",851757722256304,36,248027931078489,49,1262810811577042,48,49,63,36
512881772390112,64,"Sh_SCA",509012838348435,75,116929048904851,103,1134586717082652,57,74.75,103,57
504546556820606,65,"SoT_Standard",1008798598983419,28,131702454091448,94,1234384496096912,51,59.5,94,28
498281066041378,66,"Fld",530185436776439,71,634668528073189,10,1105263143382649,58,51.25,71,10
495444738754333,67,"PrgDist_Carries",521311938107547,72,387291165180774,19,1103696112771066,60,54.5,72,19
465126668726847,68,"G.A_minus_PK_Per",316770096953439,116,85159243427277.3,124,749770220780500,108,104,124,68
464178061771226,69,"Cmp_Long",531376155997480,70,224442871625319,60,754692293273712,106,76.25,106,60
453719295165784,70,"Mis_Carries",632254907351199,58,94623217105052.4,118,851878636414623,86,83,118,58
452318428377536,71,"PrgR_Receiving",267283715731097,131,166749086188454,79,1272277165117848,47,82,131,47
441228973860196,72,"PrgP",433203804310736,88,113234448287739,106,1030965332046617,64,82.5,106,64
439261374976117,73,"npxG_Per",369263164868546,97,374544280047897,23,929218543612017,77,67.5,97,23
433574365132341,74,"Succ_percent_Take",491115020814284,80,261084557579225,45,1021268518490113,66,66.25,80,45
432556501299805,75,"Cmp_Short",549048739955714,66,300551852338179,39,780562084888276,101,70.25,101,39
428044097452257,76,"TO_SCA",575544491909151,64,76329343314441.4,130,1251574328802747,49,79.75,130,49
424568983625505,77,"onxGA_Team.Success..xG",398287539876877,92,128520654888421,99,909784672868099,81,87.25,99,77
420364395782352,78,"PassLive_GCA",463796407029044,82,136958773699235,91,780481287607324,102,88.25,102,78
417226826856328,79,"xG_Per",381747719724680,94,247890113463550,50,699254556152034,113,84,113,50
414086084746820,80,"GCA_GCA",168659961639975,157,53883328137206.2,153,630383584398397,123,128.25,157,80
411735559019879,81,"Tkld_Take",458617670569084,84,73720381488966.3,134,971884829239017,71,92.5,134,71
410094915387374,82,"Compl_Starts",279268713445365,125,361689346093424,24,656172085051213,118,87.25,125,24
391200922855041,83,"Att_Long",618118607131195,60,209753557626102,64,933931455663609,75,70.5,83,60
369506544470329,84,"Lost_Aerial",660851144093758,54,246119554942600,53,842969945913204,90,70.25,90,53
357285822068437,85,"Tkld_percent_Take",491402772252970,79,157500899385377,82,851245868046783,88,83.5,88,79
353823014904178,86,"Final_Third",438576358627236,86,84888564719121.9,125,1298493947641323,44,85.25,125,44
350518542731660,87,"Off",230165316753139,144,111452337931205,109,548327977705189,133,118.25,144,87
344953209963892,88,"Mid.3rd_Tackles",346312425240265,104,218740614929215,61,880133155986277,85,84.5,104,61
344641020543912,89,"npxG_per_Sh_Expected",507628424060385,76,291131026114165,41,780586657672680,100,76.5,100,41
340646621944166,90,"Sh_Standard",427482298534775,90,98795662597367.9,115,767191670323364,104,99.75,115,90
337354470065000,91,"Comp_from_to",848026255848211,37,185865420027948,72,944499232875319,74,68.5,91,37
334350378610191,92,"Fld_SCA",498329623248632,78,59986914940129.7,145,783100621790583,99,103.5,145,78
329706299744199,93,"Gls",141419430781380,165,20623326218201.9,169,493271935432473,144,142.75,169,93
328153030615100,94,"Sh_Blocks",269080941113480,130,148079725263887,86,349114579033732,162,118,162,86
327184187890877,95,"Comp_going",253908903349943,138,194106387469793,68,443743210486957,150,112.75,150,68
321416217948959,96,"Blocks_Blocks",269246288828618,129,142413797218060,88,717995881973162,111,106,129,88
317460743998044,97,"Def.3rd_Touches",1246816033343080,15,357757360396261,25,1022524716946496,65,50.5,97,15
314094516526365,98,"Cmp_Outcomes",283040816079435,123,443407454184183,16,671819148474474,116,88.25,123,16
310927065481516,99,"Blocks_Outcomes",515920888827160,74,71844921125897.4,135,772055704204189,103,102.75,135,74
309986858192724,100,"CrdY",703344980836401,51,140863048021033,89,703378878645818,112,88,112,51
306996515470750,101,"Def.3rd_Tackles",348960279950779,103,159651788248410,81,661550022809555,117,100.5,117,81
306247484542521,102,"player_position",538469032925326,69,208573056590176,65,894911867438448,83,79.75,102,65
301663308842240,103,"G_per_Sh_Standard",193483517156972,153,590092537810165,11,925215739524648,78,86.25,153,11
300932647610818,104,"MP_Playing",289665494740350,122,83899762247863.3,127,491837624161507,145,124.5,145,104
297366431288821,105,"G_minus_PK",165430991618057,159,23748067167265.8,167,380635782267241,156,146.75,167,105
293751921917368,106,"xAG_Per",478868478972690,81,188730041243173,71,826751640464569,93,87.75,106,71
292099928088701,107,"Att.3rd_Tackles",520015435258608,73,57669358331718.6,148,984850790910057,70,99.5,148,70
291771585319357,108,"Tkl_Challenges",231151801701848,143,61745001537757.7,144,456183737777307,149,136,149,108
