"Transfer_Value","Comp","Nation","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def.3rd_Tackles","Mid.3rd_Tackles","Att.3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl.Int","Clr","Err","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA","CrdY","CrdR","X2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Touches_Touches","Def.Pen_Touches","Def.3rd_Touches","Mid.3rd_Touches","Att.3rd_Touches","Att.Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np.G_minus_xG_Expected","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","G.A","G_minus_PK","PK","PKatt","xAG_Expected","npxG.xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G.A_Per","G_minus_PK_Per","G.A_minus_PK_Per","xG_Per","xAG_Per","xG.xAG_Per","npxG_Per","npxG.xAG_Per","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Compl_Starts","Subs_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","On_minus_Off_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","On_minus_Off_Team.Success..xG","player_position","Comp_going","Comp_from_to","PC1_diff","PC2_diff","PC3_diff","PC4_diff","total_diff"
-556607.495069033,"Premier League","ENG",8.8,17,10,10,5,2,5,21,23.8,16,13,1,12,11,28,9,0,14,1.59,9,0,1,2,2,0,3,0.34,1,0,0,1,1,0,0,0,0,11,8,0,10,10,2,0,0,25,5,7,41.7,146,219,66.7,2086,558,92,122,75.4,45,60,75,6,11,54.5,0,0.2,0.3,-0.2,4,6,3,0,19,219,203,15,0,0,0,10,14,0,0,0,0,146,1,18,309,6,57,127,128,15,309,18,5,27.8,13,72.2,146,852,489,17,8,9,11,10,187,33,0,4,1,25,0.45,0.11,0,0,15.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,15,9,793,8.8,0,0,0,0,0,0.2,0.5,17,19,33,0,0,0,0,0,0.03,0.03,0.05,0.03,0.05,15,793,53,23.2,8.8,9,2,6,0,1.27,15,14,1,0.11,0.63,11,14.9,-3.9,-0.45,-0.18,"Right Winger","Premier League","Premier League_Premier League",-1.87728957747995,0.37759598514229,-2.89761884602207,-0.692860039257518,5.84536444790183
533333.333333333,"Ligue 1","BEL",8.6,2,0,0,2,0,0,3,0,3,5,0,5,1,3,7,0,21,2.43,13,0,1,3,4,0,2,0.23,0,0,0,1,1,0,2,0,0,20,10,6,2,0,1,0,0,15,22,31,41.5,133,178,74.7,1525,206,87,110,79.1,29,41,70.7,3,6,50,0,0.2,0.1,-0.2,4,10,2,0,12,178,159,19,0,1,1,2,0,0,0,0,0,133,0,1,273,6,19,136,120,37,271,16,9,56.3,7,43.8,170,936,383,11,8,9,24,23,217,51,2,24,9,37.5,2.78,1.04,0.04,0.11,14.9,0,1,2,5,3.5,0.15,-3,-2.5,22,6,777,8.6,2,2,1,1,2,0.2,3.7,11,12,51,0.23,0,0.23,0.12,0.12,0.58,0.02,0.6,0.41,0.43,22,777,35,30.8,8.6,6,2,16,3,0.27,5,25,-20,-2.32,-1.49,12.4,17.4,-5,-0.58,-0.12,"Centre-Forward","Ligue 1","Ligue 1_Ligue 1",4.65132958008932,6.25608874378222,4.45311090586977,3.74689421626901,19.1074234460103
-3600000,"Premier League","AUS",25.9,62,42,19,27,16,21,52,40.4,31,43,7,36,14,76,22,0,85,3.28,50,26,2,7,0,0,3,0.12,2,1,0,0,0,0,4,0,0,26,12,1,137,42,0,0,0,203,14,26,35,1073,1435,74.8,16856,5417,606,693,87.4,287,370,77.6,123,238,51.7,1,2.6,2.7,-1.6,43,143,24,8,154,1435,1294,129,44,2,19,137,8,75,25,38,2,1073,12,46,1697,28,207,893,627,31,1696,37,22,59.5,15,40.5,916,4656,2016,61,56,7,35,45,1082,94,3,42,13,31,1.62,0.5,0.05,0.15,23.3,8,1,1,2.8,2.1,0.05,0.2,-0.1,29,25,2330,25.9,3,4,2,1,1,2.6,4.6,61,154,94,0.12,0.04,0.15,0.08,0.12,0.11,0.1,0.21,0.08,0.18,29,2330,80,68.1,25.9,25,24,4,0,0.52,18,48,-30,-1.16,0.82,20.8,38.5,-17.6,-0.68,0.52,"Central Midfield","Premier League","Premier League_Premier League",4.67268843173312,-2.85265536450663,0.817247713196011,1.81596916710398,10.1585606765397
9800000,"La Liga","MAR",6.4,17,9,9,5,3,5,8,62.5,3,3,0,3,9,26,0,0,17,2.64,9,0,6,1,1,0,2,0.31,1,0,0,1,0,0,4,0,0,17,15,2,15,9,0,0,0,29,3,7,30,132,186,71,1611,223,88,105,83.8,24,43,55.8,7,11,63.6,0,0.9,1.1,-0.9,6,4,4,1,8,186,182,4,0,0,1,15,3,1,0,0,0,132,0,8,302,1,42,77,193,52,302,59,34,57.6,25,42.4,214,2030,1194,47,21,24,23,12,215,76,1,16,4,25,2.48,0.62,0.06,0.25,16.5,0,0,0,1.3,1.3,0.08,-0.3,-0.3,10,6,580,6.4,1,1,1,0,0,0.9,2.2,47,8,76,0.16,0,0.16,0.16,0.16,0.2,0.14,0.33,0.2,0.33,10,580,58,17,6.4,6,1,4,3,1.7,8,8,0,0,-0.95,10.5,5.3,5.2,0.8,0.05,"Left Winger","La Liga","La Liga_La Liga",-10.8292934272124,0.994647971454488,-1.49908923080705,-0.146835367924811,13.4698659973988
-7333333.33333334,"La Liga","MAR",16.7,29,19,13,12,4,13,23,56.5,10,20,0,20,4,33,6,0,58,3.47,27,5,18,4,3,1,4,0.24,4,0,0,0,0,0,4,2,1,27,34,2,76,19,0,0,0,71,3,17,15,365,549,66.5,5242,1286,222,268,82.8,107,164,65.2,24,51,47.1,2,1.9,3.8,0.1,12,13,24,9,44,549,516,26,3,3,5,76,16,7,1,2,0,365,7,33,813,4,73,287,473,66,813,117,59,50.4,42,35.9,555,4651,2531,93,60,45,64,38,606,136,4,40,16,40,2.39,0.96,0.1,0.25,19.1,2,0,0,2.7,2.7,0.07,1.3,1.3,28,19,1504,16.7,4,6,4,0,0,1.9,4.6,93,44,136,0.24,0.12,0.36,0.24,0.36,0.16,0.11,0.27,0.16,0.27,28,1504,54,44,16.7,19,2,9,0,1.43,20,15,5,0.3,0.77,16.8,19.5,-2.7,-0.16,-0.02,"Left Winger","La Liga","La Liga_La Liga",11.1226392736974,-2.06396213927917,2.07301404153941,-0.460153276458584,15.7197687309745
213333.333333333,"Premier League","MAR",0.5,2,1,1,1,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,7,8,87.5,62,11,7,8,87.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0,12,0,4,6,2,1,12,0,0,0,0,0,6,28,20,0,1,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,48,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,48,24,1.4,0.5,1,0,1,0,0,1,3,-2,-3.75,-2.36,0.6,1.5,-0.9,-1.76,-0.93,"Attacking Midfield","Bundesliga","Premier League_Bundesliga",-0.398438547429504,-4.4493264456267,2.60419845933047,0.995807428687005,8.44777088107368
-4306593.40659341,"Premier League","ENG",4.2,19,9,7,9,3,6,21,28.6,15,7,0,7,5,24,3,0,8,1.88,7,0,0,0,1,0,1,0.24,1,0,0,0,0,0,1,0,0,7,8,1,3,9,0,0,0,31,4,14,22.2,229,272,84.2,2865,728,152,166,91.6,57,66,86.4,6,13,46.2,1,0.6,0.3,0.4,4,24,3,0,23,272,267,3,1,1,2,3,1,0,0,0,0,229,2,5,340,7,49,179,116,13,340,5,2,40,3,60,219,820,392,9,11,1,13,5,234,17,1,5,1,20,1.18,0.24,0.2,1,16.3,0,0,0,0.8,0.8,0.15,0.2,0.2,15,3,382,4.2,1,2,1,0,0,0.6,1.3,9,23,17,0.24,0.24,0.47,0.24,0.47,0.18,0.14,0.31,0.18,0.31,15,382,25,11.2,4.2,3,0,12,11,2.67,9,5,4,0.94,-0.48,8,4.3,3.7,0.86,0.05,"Attacking Midfield","Premier League","Premier League_Premier League",-8.69920423533799,-1.16258392529179,3.01724934990848,0.635594060165516,13.5146315707038
-2133333.33333333,"Serie A","ALG",6,5,2,0,3,2,2,11,18.2,9,6,0,6,2,7,0,1,37,6.19,28,1,3,3,1,1,1,0.17,0,0,0,1,0,0,0,0,0,4,10,0,19,2,0,0,0,30,4,8,33.3,230,293,78.5,3693,756,124,145,85.5,83,108,76.9,16,26,61.5,0,1.9,1.3,-1.9,18,11,14,0,30,293,285,8,1,4,3,19,3,3,2,0,0,230,0,7,382,1,18,143,225,30,382,34,19,55.9,15,44.1,287,2124,1187,45,35,19,18,10,308,77,3,21,8,38.1,3.51,1.34,0.14,0.38,19.8,0,0,0,1.4,1.4,0.07,1.6,1.6,18,6,538,6,3,3,3,0,0,1.9,3.3,45,30,77,0.5,0,0.5,0.5,0.5,0.24,0.32,0.56,0.24,0.56,18,538,30,15.7,6,6,0,12,11,2.06,9,4,5,0.84,-0.19,9,4.6,4.4,0.74,0.14,"Right Winger","Ligue 1","Serie A_Ligue 1",-13.0790662677471,-8.66258122414425,0.478340744358496,-0.736050784263793,22.9560390205137
0,"Ligue 1","ALG",12.5,10,5,2,6,2,5,13,38.5,8,9,1,8,11,21,8,1,53,4.25,35,3,8,3,3,1,5,0.4,4,0,0,0,1,0,2,1,0,7,29,0,53,5,1,0,0,47,2,14,12.5,373,497,75.1,6633,1587,174,203,85.7,152,193,78.8,43,74,58.1,4,3.3,2.2,0.7,25,25,24,7,52,497,447,47,10,7,8,53,18,16,7,2,0,373,3,10,651,4,64,300,304,38,651,71,45,63.4,26,36.6,378,2880,1310,41,30,21,34,23,500,132,2,21,9,42.9,1.68,0.72,0.1,0.22,17.9,1,0,0,2,2,0.1,0,0,16,14,1123,12.5,2,6,2,0,0,3.3,5.3,41,52,132,0.16,0.32,0.48,0.16,0.48,0.16,0.26,0.42,0.16,0.42,16,1123,70,44.6,12.5,14,4,2,0,1.69,20,15,5,0.4,0.53,16.3,18.6,-2.3,-0.19,0.19,"Right Winger","Serie A","Ligue 1_Serie A",1.17236620985871,7.8446585222837,0.622144386622452,1.07207138947927,10.7112405082441
-399999.999999999,"Serie A","ALG",3.4,3,2,3,0,0,0,11,0,11,5,0,5,3,6,0,0,15,4.4,13,1,1,0,0,0,3,0.88,3,0,0,0,0,0,0,0,0,3,9,1,10,2,0,0,0,17,3,4,42.9,83,122,68,1406,391,43,56,76.8,25,38,65.8,10,15,66.7,0,0.9,0.8,-0.9,7,8,8,2,15,122,117,4,2,0,2,10,0,2,0,0,0,83,1,5,174,0,27,72,83,11,174,30,19,63.3,11,36.7,110,798,396,10,8,4,11,10,128,27,0,6,0,0,1.75,0,0,0,19.1,0,0,0,0.9,0.9,0.14,-0.9,-0.9,7,3,308,3.4,0,0,0,0,0,0.9,1.8,10,15,27,0,0,0,0,0,0.25,0.27,0.52,0.25,0.52,7,308,44,9,3.4,3,0,4,1,1.43,5,3,2,0.58,1.1,4.8,4,0.9,0.25,0.7,"Right Winger","Serie A","Serie A_Serie A",7.79142484543923,-1.84808697853354,0.364962338083048,-0.0498637166898776,10.0543378787457
