"Transfer_Value","Comp","Nation","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def.3rd_Tackles","Mid.3rd_Tackles","Att.3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl.Int","Clr","Err","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA","CrdY","CrdR","X2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Touches_Touches","Def.Pen_Touches","Def.3rd_Touches","Mid.3rd_Touches","Att.3rd_Touches","Att.Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np.G_minus_xG_Expected","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","G.A","G_minus_PK","PK","PKatt","xAG_Expected","npxG.xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G.A_Per","G_minus_PK_Per","G.A_minus_PK_Per","xG_Per","xAG_Per","xG.xAG_Per","npxG_Per","npxG.xAG_Per","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Compl_Starts","Subs_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","On_minus_Off_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","On_minus_Off_Team.Success..xG","player_position","Comp_going","Comp_from_to","PC1_diff","PC2_diff","PC3_diff","PC4_diff","total_diff"
-556607.495069033,"Premier League","ENG",8.8,17,10,10,5,2,5,21,23.8,16,13,1,12,11,28,9,0,14,1.59,9,0,1,2,2,0,3,0.34,1,0,0,1,1,0,0,0,0,11,8,0,10,10,2,0,0,25,5,7,41.7,146,219,66.7,2086,558,92,122,75.4,45,60,75,6,11,54.5,0,0.2,0.3,-0.2,4,6,3,0,19,219,203,15,0,0,0,10,14,0,0,0,0,146,1,18,309,6,57,127,128,15,309,18,5,27.8,13,72.2,146,852,489,17,8,9,11,10,187,33,0,4,1,25,0.45,0.11,0,0,15.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,15,9,793,8.8,0,0,0,0,0,0.2,0.5,17,19,33,0,0,0,0,0,0.03,0.03,0.05,0.03,0.05,15,793,53,23.2,8.8,9,2,6,0,1.27,15,14,1,0.11,0.63,11,14.9,-3.9,-0.45,-0.18,"Right Winger","Premier League","Premier League_Premier League",-1.87728957747995,0.37759598514229,-2.89761884602207,-0.692860039257518,5.84536444790183
-3600000,"Premier League","AUS",25.9,62,42,19,27,16,21,52,40.4,31,43,7,36,14,76,22,0,85,3.28,50,26,2,7,0,0,3,0.12,2,1,0,0,0,0,4,0,0,26,12,1,137,42,0,0,0,203,14,26,35,1073,1435,74.8,16856,5417,606,693,87.4,287,370,77.6,123,238,51.7,1,2.6,2.7,-1.6,43,143,24,8,154,1435,1294,129,44,2,19,137,8,75,25,38,2,1073,12,46,1697,28,207,893,627,31,1696,37,22,59.5,15,40.5,916,4656,2016,61,56,7,35,45,1082,94,3,42,13,31,1.62,0.5,0.05,0.15,23.3,8,1,1,2.8,2.1,0.05,0.2,-0.1,29,25,2330,25.9,3,4,2,1,1,2.6,4.6,61,154,94,0.12,0.04,0.15,0.08,0.12,0.11,0.1,0.21,0.08,0.18,29,2330,80,68.1,25.9,25,24,4,0,0.52,18,48,-30,-1.16,0.82,20.8,38.5,-17.6,-0.68,0.52,"Central Midfield","Premier League","Premier League_Premier League",4.67268843173312,-2.85265536450663,0.817247713196011,1.81596916710398,10.1585606765397
-17853423.4995773,"Premier League","WAL",14.8,34,18,11,15,8,7,25,28,18,7,1,6,9,43,3,0,48,3.25,41,0,3,3,0,1,10,0.68,9,0,1,0,0,0,0,0,0,21,20,4,15,18,0,0,0,89,13,20,39.4,652,807,80.8,9568,2275,368,419,87.8,192,226,85,43,59,72.9,6,2,2.3,4,25,51,16,4,88,807,775,26,10,5,9,15,13,1,0,0,0,652,6,27,972,9,113,488,379,72,972,23,12,52.2,11,47.8,574,3368,1688,47,42,6,35,27,768,133,4,33,13,39.4,2.23,0.88,0.12,0.31,17.2,0,0,0,3.4,3.4,0.1,0.6,0.6,28,14,1331,14.8,4,10,4,0,0,2,5.4,47,88,133,0.27,0.41,0.68,0.27,0.68,0.23,0.14,0.37,0.23,0.37,28,1331,48,38.9,14.8,14,4,14,3,1.93,32,13,19,1.28,1.16,20.7,20.1,0.6,0.04,-0.18,"Central Midfield","Serie A","Premier League_Serie A",2.82240540734562,0.253473416338641,-1.86039523947535,-0.92278745689845,5.85906152005807
-333333.333333333,"Serie A","WAL",1.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2.76,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,0,0,59,66,89.4,1014,260,25,29,86.2,29,31,93.5,4,5,80,0,0.1,0,-0.1,2,6,0,0,4,66,64,2,2,0,0,0,0,0,0,0,0,59,0,0,67,1,20,39,8,2,67,0,0,0,0,0,35,100,41,0,0,0,1,1,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,99,1.1,0,0,0,0,0,0.1,0.1,0,4,1,0,0,0,0,0,0,0.05,0.05,0,0.05,3,99,33,2.9,1.1,1,0,2,6,1.33,2,3,-1,-0.91,-1.48,0.7,2.2,-1.5,-1.36,-1.77,"Central Midfield","Ligue 1","Serie A_Ligue 1",1.88204301177952,1.2418234824106,4.19103034684012,-3.20355243140602,10.5184492724363
-7333333.33333334,"La Liga","MAR",16.7,29,19,13,12,4,13,23,56.5,10,20,0,20,4,33,6,0,58,3.47,27,5,18,4,3,1,4,0.24,4,0,0,0,0,0,4,2,1,27,34,2,76,19,0,0,0,71,3,17,15,365,549,66.5,5242,1286,222,268,82.8,107,164,65.2,24,51,47.1,2,1.9,3.8,0.1,12,13,24,9,44,549,516,26,3,3,5,76,16,7,1,2,0,365,7,33,813,4,73,287,473,66,813,117,59,50.4,42,35.9,555,4651,2531,93,60,45,64,38,606,136,4,40,16,40,2.39,0.96,0.1,0.25,19.1,2,0,0,2.7,2.7,0.07,1.3,1.3,28,19,1504,16.7,4,6,4,0,0,1.9,4.6,93,44,136,0.24,0.12,0.36,0.24,0.36,0.16,0.11,0.27,0.16,0.27,28,1504,54,44,16.7,19,2,9,0,1.43,20,15,5,0.3,0.77,16.8,19.5,-2.7,-0.16,-0.02,"Left Winger","La Liga","La Liga_La Liga",11.1226392736974,-2.06396213927917,2.07301404153941,-0.460153276458584,15.7197687309745
0,"Serie A","NED",7.2,17,6,6,7,4,2,7,28.6,5,6,1,5,2,19,10,0,15,2.09,15,0,0,0,0,0,1,0.14,1,0,0,0,0,0,2,0,0,13,3,1,11,6,0,0,0,38,9,5,64.3,254,308,82.5,3861,992,133,147,90.5,98,116,84.5,14,21,66.7,0,0.3,0.5,-0.3,6,35,7,2,36,308,303,5,0,1,1,11,2,0,0,0,0,254,0,7,395,16,68,211,126,15,395,15,11,73.3,4,26.7,228,1379,632,21,20,3,12,13,279,32,2,14,4,28.6,1.95,0.56,0.14,0.5,23.4,0,0,0,1.5,1.5,0.1,0.5,0.5,23,5,647,7.2,2,2,2,0,0,0.3,1.8,21,36,32,0.28,0,0.28,0.28,0.28,0.2,0.05,0.25,0.2,0.25,23,647,28,18.9,7.2,5,1,18,14,1.35,5,9,-4,-0.56,-0.23,7.6,9.3,-1.7,-0.24,-0.36,"Central Midfield","Serie A","Serie A_Serie A",-3.3173300976229,0.0488065224245418,1.54821750673398,-2.37022866998184,7.28458279676326
-1494469.81589839,"Premier League","MLI",35.1,64,30,29,29,6,16,57,28.1,41,46,8,38,31,95,32,0,95,2.71,69,1,11,9,2,3,8,0.23,6,0,0,2,0,0,9,0,0,51,15,6,29,30,0,1,1,270,55,56,49.5,1320,1712,77.1,19007,4672,714,862,82.8,456,548,83.2,61,101,60.4,2,3.9,2.8,-1.9,38,120,27,2,161,1712,1693,14,8,0,4,29,0,2,0,0,0,1320,5,47,2090,68,387,1100,646,100,2090,67,40,59.7,27,40.3,1241,5965,3130,69,68,16,58,31,1353,96,4,61,12,19.7,1.74,0.34,0.07,0.33,18.3,0,0,0,5.2,5.2,0.08,-1.2,-1.2,37,36,3156,35.1,4,6,4,0,0,3.9,9,69,161,96,0.11,0.06,0.17,0.11,0.17,0.15,0.11,0.26,0.15,0.26,37,3156,85,92.3,35.1,36,25,1,0,0.89,33,61,-28,-0.8,-0.8,45.3,52,-6.7,-0.19,0.68,"Central Midfield","Premier League","Premier League_Premier League",2.04126119251829,-2.18623317013192,1.90365842070558,3.06845842002764,9.19961120338342
-1312500,"Ligue 1","GUI",18.7,28,12,10,16,2,14,31,45.2,17,17,2,15,22,50,19,0,41,2.2,34,0,3,2,2,0,5,0.27,5,0,0,0,0,0,2,0,0,20,30,0,9,12,0,2,0,106,33,22,60,799,946,84.5,13244,3477,358,418,85.6,351,396,88.6,60,83,72.3,2,1.4,1.2,0.6,14,92,7,0,101,946,941,5,5,3,6,9,0,0,0,0,0,799,0,7,1136,34,168,775,205,19,1135,30,21,70,9,30,652,2891,1303,22,22,0,28,18,801,23,2,26,4,15.4,1.39,0.21,0.04,0.25,24.2,0,1,1,2.6,1.8,0.07,-0.6,-0.8,29,20,1681,18.7,2,4,1,1,1,1.4,3.2,22,101,23,0.11,0.11,0.21,0.05,0.16,0.14,0.08,0.22,0.1,0.17,29,1681,58,49.2,18.7,20,11,9,7,0.83,18,28,-10,-0.54,-0.64,22,24.8,-2.8,-0.15,-0.06,"Defensive Midfield","Serie A","Ligue 1_Serie A",-1.84354205158458,1.06298791501863,0.557351565496416,-0.369876685840522,3.83375821794016
7333333.33333334,"Bundesliga","MAR",30.2,60,41,38,14,8,27,64,42.2,37,26,2,24,30,90,27,2,93,3.08,71,1,10,5,6,0,20,0.66,16,0,4,0,0,0,5,0,0,24,50,2,95,41,0,0,0,200,15,22,40.5,2026,2426,83.5,27838,8278,1291,1430,90.3,546,661,82.6,96,158,60.8,10,5.3,5.6,4.7,35,115,39,11,168,2426,2146,279,13,3,17,95,259,7,1,3,0,2026,1,64,2780,51,514,1360,927,104,2780,120,73,60.8,47,39.2,1689,9213,5414,159,109,41,59,44,2057,323,5,38,20,52.6,1.26,0.66,0.13,0.25,16.2,3,0,0,4.9,4.9,0.13,0.1,0.1,33,29,2715,30.2,5,15,5,0,0,5.3,10.2,159,168,323,0.17,0.33,0.5,0.17,0.5,0.16,0.18,0.34,0.16,0.34,33,2715,82,88.7,30.2,29,25,4,0,2,73,34,39,1.29,0.25,52.6,35.7,16.9,0.56,-0.28,"Right-Back","Serie A","Bundesliga_Serie A",-0.810210994988597,3.35603454669075,-2.04440738074845,0.264945189479544,6.47559811190734
-4306593.40659341,"Premier League","ENG",4.2,19,9,7,9,3,6,21,28.6,15,7,0,7,5,24,3,0,8,1.88,7,0,0,0,1,0,1,0.24,1,0,0,0,0,0,1,0,0,7,8,1,3,9,0,0,0,31,4,14,22.2,229,272,84.2,2865,728,152,166,91.6,57,66,86.4,6,13,46.2,1,0.6,0.3,0.4,4,24,3,0,23,272,267,3,1,1,2,3,1,0,0,0,0,229,2,5,340,7,49,179,116,13,340,5,2,40,3,60,219,820,392,9,11,1,13,5,234,17,1,5,1,20,1.18,0.24,0.2,1,16.3,0,0,0,0.8,0.8,0.15,0.2,0.2,15,3,382,4.2,1,2,1,0,0,0.6,1.3,9,23,17,0.24,0.24,0.47,0.24,0.47,0.18,0.14,0.31,0.18,0.31,15,382,25,11.2,4.2,3,0,12,11,2.67,9,5,4,0.94,-0.48,8,4.3,3.7,0.86,0.05,"Attacking Midfield","Premier League","Premier League_Premier League",-8.69920423533799,-1.16258392529179,3.01724934990848,0.635594060165516,13.5146315707038
