"Variable","Rank_tot.x","Rank_tot.y"
"PC1_diff",1,1
"Att.3rd_Touches",9,39
"PPM_Team.Success",10,12
"plus_per__minus__Team.Success",5,24
"onG_Team.Success",61,53
"xGplus_per__minus__Team.Success..xG",2,2
"PPA",31,97
"PC3_diff",4,8
"Att.Pen_Touches",11,38
"np.G_minus_xG_Expected",16,37
"CPA_Carries",6,94
"onxG_Team.Success..xG.",45,61
"Sh_per_90_Standard",14,31
"Cmp_percent_Short",39,13
"plus_per__minus_90_Team.Success",7,11
"Dist_Standard",34,15
"PC2_diff",3,4
"TO_GCA",42,166
"G.A",8,130
"SoT_per_90_Standard",24,45
"On_minus_Off_Team.Success..xG",23,9
"G_minus_xG_Expected",32,36
"xGplus_per__minus_90_Team.Success..xG",13,7
"A_minus_xAG_Expected",29,25
"Cmp_percent_Total",22,18
"Cmp_percent_Long",28,16
"xG_Expected",53,118
"Att_Short",107,79
"npxG_Expected",72,115
"PC4_diff",19,5
"Mn_per_MP_Playing.Time",41,28
"Final_Third_Carries",54,76
"Subs_Subs",21,34
"Succ_Take",26,51
"Cmp_percent_Medium",27,17
"Att_Take",20,56
"Nation",17,14
"Rec_Receiving",127,106
"On_minus_Off_Team.Success",40,6
"GCA90_GCA",12,30
"Ast",62,163
"Fls",36,33
"SoT_percent_Standard",30,26
"G.A_Per",73,50
"Sw_Pass",96,84
"total_diff",15,3
"unSub_Subs",63,21
"npxG.xAG_Per",89,65
"Ast_Per",82,71
"PrgR_Progression",33,88
"PassLive_SCA",35,86
"PrgC_Progression",52,72
"npxG.xAG_Expected",56,59
"Dis_Carries",97,66
"onGA_Team.Success",69,92
"PrgC_Carries",38,69
"Tkl_percent_Challenges",37,23
"xG.xAG_Per",98,68
"Won_percent_Aerial",43,10
"SCA90_SCA",18,22
"TotDist_Carries",46,54
"FK_Standard",105,111
"TB_Pass",48,134
"Sh_SCA",57,123
"SoT_Standard",51,141
"Fld",58,35
"PrgDist_Carries",60,42
"G.A_minus_PK_Per",108,57
"Cmp_Long",106,82
"Mis_Carries",86,44
"PrgR_Receiving",47,81
"PrgP",64,103
"npxG_Per",77,107
"Succ_percent_Take",66,20
"Cmp_Short",101,89
"TO_SCA",49,133
"onxGA_Team.Success..xG",81,43
"PassLive_GCA",102,157
"xG_Per",113,98
"GCA_GCA",123,146
"Tkld_Take",71,99
"Compl_Starts",118,102
"Att_Long",75,52
"Lost_Aerial",90,41
"Tkld_percent_Take",88,27
"Final_Third",44,87
"Off",133,125
"Mid.3rd_Tackles",85,80
"npxG_per_Sh_Expected",100,32
"Sh_Standard",104,128
"Comp_from_to",74,19
"Fld_SCA",99,120
"Gls",144,173
"Sh_Blocks",162,124
"Comp_going",150,122
"Blocks_Blocks",111,58
"Def.3rd_Touches",65,73
"Cmp_Outcomes",116,145
"Blocks_Outcomes",103,78
"CrdY",112,90
"Def.3rd_Tackles",117,95
"player_position",83,63
"G_per_Sh_Standard",78,131
"MP_Playing",145,137
"G_minus_PK",156,170
"xAG_Per",93,74
"Att.3rd_Tackles",70,101
"Tkl_Challenges",149,119
"Crs_Pass",143,104
"Carries_Carries",80,126
"Gls_Per",148,112
"G_minus_PK_Per",147,139
"Dead_Pass",76,29
"Def.Pen_Touches",141,60
"Mid.3rd_Touches",55,105
"PrgP_Progression",67,100
"Gls_Standard",136,171
"Int",59,46
"KP",114,93
"Pass_Blocks",50,67
"Att_Challenges",142,64
"MP_Playing.Time",139,110
"Off_Outcomes",140,83
"Cmp_Total",128,143
"G_per_SoT_Standard",125,117
"Min_percent_Playing.Time",124,129
"Live_Touches",91,150
"PrgDist_Total",109,75
"SCA_SCA",115,113
"Tkl_Tackles",126,70
"Won_Aerial",119,40
"Recov",25,47
"Clr",137,49
"Att_Total",157,152
"TI_Pass",122,48
"Lost_Challenges",121,62
"Crs",138,108
"Min_Playing",151,138
"Min_Playing.Time",155,140
"Tkl.Int",79,55
"xA_Expected",94,96
"TklW_Tackles",95,77
"In_Corner",130,149
"Live_Pass",132,147
"Att",146,142
"Sh_GCA",158,155
"Comp",159,114
"xAG",129,121
"Touches_Touches",120,153
"TklW",92,91
"xAG_Expected",131,116
"Cmp_Medium",84,109
"Str_Corner",176,175
"FK_Pass",135,85
"Att_Medium",110,127
"Def_GCA",174,167
"CK_Pass",134,132
"CrsPA",152,135
"PKwon",160,169
"TotDist_Total",87,136
"PKatt",167,177
"Out_Corner",166,148
"Mins_Per_90_Playing",164,156
"PK",170,179
"CrdR",175,168
"Def_SCA",153,151
"Err",68,158
"Fld_GCA",168,165
"Mins_Per_90",165,159
"PKatt_Standard",172,176
"Starts_Starts",154,161
"Mins_Per_90_Playing.Time",161,154
"Starts_Playing",163,162
"PKcon",173,164
"OG",177,160
"PassDead_SCA",171,144
"PK_Standard",169,178
"PassDead_GCA",178,172
"X2CrdY",179,174
