"global_transfer_index","Transfer_Value","player_url","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Url","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","G+A","G_minus_PK","PK","PKatt","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","On_minus_Off_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","On_minus_Off_Team.Success..xG","player_market_value_euro","MarketValue","rownr","squad","count","player_position","Transfer_Group","Is_Transfer","Comp_going","Comp_from_to"
2,9432323.23232324,"https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949",2022,"zzzinitial value","Serie A","Aaron Hickey","SCO","DF",19,2002,31.3,46,29,24,15,7,20,30,66.7,10,36,13,23,29,75,44,0,"https://fbref.com/en/players/1780bb4a/Aaron-Hickey",44,1.4,37,1,2,0,4,0,4,0.13,4,0,0,0,0,0,7,0,0,39,71,4,52,29,0,0,0,134,17,30,36.2,1032,1289,80.1,14598,4242,610,671,90.9,355,460,77.2,34,78,43.6,1,1.8,1.4,-0.8,19,45,19,8,52,1289,1021,267,16,2,0,52,251,0,0,0,0,1032,1,33,1602,80,483,671,458,25,1602,49,30,61.2,19,38.8,831,4703,2261,57,43,8,48,27,961,156,5,21,13,61.9,0.67,0.41,0.24,0.38,21.3,0,0,0,0.9,0.9,0.04,4.1,4.1,36,34,2820,31.3,5,6,5,0,0,1.8,2.6,57,52,156,0.16,0.03,0.19,0.16,0.19,0.03,0.06,0.08,0.03,0.08,36,2820,78,82.5,31.3,34,82,17,2,24,0,1.25,34,42,-8,-0.26,0.19,34.8,42.7,-7.9,-0.25,-0.27,1e+06,1.8e+07,16797,"Bologna",216,"Right-Back",2,"Same Transfer","Premier League","Serie A_Premier League"
5,-556607.495069033,"https://www.transfermarkt.com/aaron-lennon/profil/spieler/14221",2018,"zzzinitial value","Premier League","Aaron Lennon","ENG","FW,MF",30,1987,8.8,17,10,10,5,2,5,21,23.8,16,13,1,12,11,28,9,0,"https://fbref.com/en/players/2ff964a0/Aaron-Lennon",14,1.59,9,0,1,2,2,0,3,0.34,1,0,0,1,1,0,0,0,0,11,8,0,10,10,2,0,0,25,5,7,41.7,146,219,66.7,2086,558,92,122,75.4,45,60,75,6,11,54.5,0,0.2,0.3,-0.2,4,6,3,0,19,219,203,15,0,0,0,10,14,0,0,0,0,146,1,18,309,6,57,127,128,15,309,18,5,27.8,13,72.2,146,852,489,17,8,9,11,10,187,33,0,4,1,25,0.45,0.11,0,0,15.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,15,9,793,8.8,0,0,0,0,0,0.2,0.5,17,19,33,0,0,0,0,0,0.03,0.03,0.05,0.03,0.05,15,793,53,23.2,8.8,9,NA,2,6,NA,0,1.27,15,14,1,0.11,0.63,11,14.9,-3.9,-0.45,-0.18,2e+07,5e+06,266,"Everton",190,"Right Winger",1,"Same Transfer","Premier League","Premier League_Premier League"
6,533333.333333333,"https://www.transfermarkt.com/aaron-leya-iseka/profil/spieler/289587",2020,"zzzinitial value","Ligue 1","Aaron Leya Iseka","BEL","FW",21,1997,8.6,2,0,0,2,0,0,3,0,3,5,0,5,1,3,7,0,"https://fbref.com/en/players/29ef0f49/Aaron-Leya-Iseka",21,2.43,13,0,1,3,4,0,2,0.23,0,0,0,1,1,0,2,0,0,20,10,6,2,0,1,0,0,15,22,31,41.5,133,178,74.7,1525,206,87,110,79.1,29,41,70.7,3,6,50,0,0.2,0.1,-0.2,4,10,2,0,12,178,159,19,0,1,1,2,0,0,0,0,0,133,0,1,273,6,19,136,120,37,271,16,9,56.3,7,43.8,170,936,383,11,8,9,24,23,217,51,2,24,9,37.5,2.78,1.04,0.04,0.11,14.9,0,1,2,5,3.5,0.15,-3,-2.5,22,6,777,8.6,2,2,1,1,2,0.2,3.7,11,12,51,0.23,0,0.23,0.12,0.12,0.58,0.02,0.6,0.41,0.43,22,777,35,30.8,8.6,6,81,2,16,18,3,0.27,5,25,-20,-2.32,-1.49,12.4,17.4,-5,-0.58,-0.12,NA,2e+06,10920,"Toulouse",133,"Centre-Forward",2,"Same Transfer","Ligue 1","Ligue 1_Ligue 1"
8,4480000,"https://www.transfermarkt.com/aaron-martin/profil/spieler/251878",2018,"zzzinitial value","La Liga","Aaron Martin","ESP","DF",20,1997,31.3,56,36,41,12,3,31,59,52.5,28,26,5,21,49,105,78,0,"https://fbref.com/en/players/2f3e911a/Aaron-Martin",59,1.89,45,11,1,0,1,1,3,0.1,2,1,0,0,0,0,6,0,0,29,20,0,148,36,0,0,0,151,18,41,30.5,1053,1412,74.6,15981,5502,635,717,88.6,320,419,76.4,77,194,39.7,0,2.8,3.7,-2.8,31,63,30,23,86,1412,1066,339,40,2,4,148,282,17,8,9,0,1053,7,45,1695,72,490,768,454,15,1695,52,35,67.3,17,32.7,816,4527,2590,64,52,1,23,25,858,114,0,5,2,40,0.16,0.06,0,0,25.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,32,31,2815,31.3,0,0,0,0,0,2.8,2.9,64,86,114,0,0,0,0,0,0,0.09,0.09,0,0.09,32,2815,88,82.3,31.3,31,90,30,1,35,5,1.31,28,35,-7,-0.22,-0.37,30.3,43.7,-13.4,-0.43,-0.76,NA,1.2e+07,1075,"Espanyol",141,"Left-Back",1,"Same Transfer","Bundesliga","La Liga_Bundesliga"
9,-6e+06,"https://www.transfermarkt.com/aaron-martin/profil/spieler/251878",2020,"zzzinitial value","Bundesliga","Aaron Martin","ESP","DF",22,1997,19.9,29,15,17,8,4,9,22,40.9,13,11,5,6,30,59,36,0,"https://fbref.com/en/players/2f3e911a/Aaron-Martin",54,2.71,30,21,3,0,0,0,1,0.05,1,0,0,0,0,0,2,0,0,18,12,2,136,15,0,0,0,86,14,21,40,649,907,71.6,9947,3939,379,427,88.8,193,285,67.7,56,142,39.4,0,2.9,3.8,-2.9,32,33,16,9,44,907,633,270,44,1,1,136,167,58,30,28,0,649,4,14,1072,48,288,450,351,11,1072,28,19,67.9,9,32.1,527,3129,1546,40,26,3,15,15,514,90,0,9,3,33.3,0.45,0.15,0,0,23.8,1,0,0,0.3,0.3,0.04,-0.3,-0.3,22,21,1792,19.9,0,0,0,0,0,2.9,3.2,40,44,90,0,0,0,0,0,0.02,0.15,0.16,0.02,0.16,22,1792,81,58.6,19.9,21,84,16,1,25,9,1,29,49,-20,-1,-0.93,27.5,40.6,-13.1,-0.66,-0.77,2800000,10500000,10217,"Mainz 05",186,"Left-Back",2,"Same Transfer","La Liga","Bundesliga_La Liga"
10,576923.076923078,"https://www.transfermarkt.com/aaron-martin/profil/spieler/251878",2021,"zzzinitial value","La Liga","Aaron Martin","ESP","DF",23,1997,17.1,34,20,15,16,3,10,33,30.3,23,15,4,11,13,47,37,0,"https://fbref.com/en/players/2f3e911a/Aaron-Martin",15,0.88,11,2,0,1,1,0,3,0.18,3,0,0,0,0,0,1,0,0,25,15,3,54,20,0,0,0,72,15,19,44.1,675,866,77.9,10129,3019,373,407,91.6,245,319,76.8,35,93,37.6,3,0.8,1,2.2,6,29,7,3,42,866,701,163,24,0,2,54,138,1,0,0,0,675,2,17,1015,52,312,461,253,16,1015,25,17,68,8,32,517,2261,1121,32,24,3,14,7,603,86,0,5,1,20,0.29,0.06,0,0,22.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,19,17,1540,17.1,0,3,0,0,0,0.8,1,32,42,86,0,0.18,0.18,0,0.18,0.01,0.05,0.06,0.01,0.06,19,1540,81,45,17.1,17,87,15,2,27,2,1.53,29,27,2,0.12,0.31,20.7,26.9,-6.2,-0.36,-0.62,1500000,4500000,12256,"Celta Vigo",185,"Left-Back",3,"Same Transfer","Bundesliga","La Liga_Bundesliga"
11,-1818181.81818182,"https://www.transfermarkt.com/aaron-martin/profil/spieler/251878",2023,"zzzinitial value","Bundesliga","Aaron Martin","ESP","DF",25,1997,20.5,42,27,25,11,6,21,40,52.5,19,22,1,21,15,57,31,0,"https://fbref.com/en/players/2f3e911a/Aaron-Martin",59,2.87,39,18,1,1,0,0,5,0.24,4,1,0,0,0,0,3,0,0,28,12,2,145,27,0,0,0,104,1,13,7.1,761,1028,74,12672,5222,385,424,90.8,283,356,79.5,73,187,39,3,2.8,3.4,0.2,27,68,29,16,86,1028,730,293,39,0,4,145,195,59,42,16,0,761,5,29,1192,47,303,523,380,14,1191,21,10,47.6,8,38.1,582,2815,1217,25,19,3,15,14,621,61,5,18,7,38.9,0.88,0.34,0.28,0.71,25.9,8,0,1,2.2,1.4,0.08,2.8,3.6,28,20,1847,20.5,5,8,5,0,1,2.8,4.2,25,86,61,0.24,0.15,0.39,0.24,0.39,0.11,0.14,0.24,0.07,0.2,28,1847,66,60.4,20.5,20,83,14,8,23,6,1.25,29,34,-5,-0.24,-0.54,26.9,34.5,-7.6,-0.37,-0.45,8500000,7e+06,21438,"Mainz 05",186,"Left-Back",4,"Same Transfer","Serie A","Bundesliga_Serie A"
13,-3600000,"https://www.transfermarkt.com/aaron-mooy/profil/spieler/123951",2019,"zzzinitial value","Premier League","Aaron Mooy","AUS","MF,FW",27,1990,25.9,62,42,19,27,16,21,52,40.4,31,43,7,36,14,76,22,0,"https://fbref.com/en/players/47b7e3af/Aaron-Mooy",85,3.28,50,26,2,7,0,0,3,0.12,2,1,0,0,0,0,4,0,0,26,12,1,137,42,0,0,0,203,14,26,35,1073,1435,74.8,16856,5417,606,693,87.4,287,370,77.6,123,238,51.7,1,2.6,2.7,-1.6,43,143,24,8,154,1435,1294,129,44,2,19,137,8,75,25,38,2,1073,12,46,1697,28,207,893,627,31,1696,37,22,59.5,15,40.5,916,4656,2016,61,56,7,35,45,1082,94,3,42,13,31,1.62,0.5,0.05,0.15,23.3,8,1,1,2.8,2.1,0.05,0.2,-0.1,29,25,2330,25.9,3,4,2,1,1,2.6,4.6,61,154,94,0.12,0.04,0.15,0.08,0.12,0.11,0.1,0.21,0.08,0.18,29,2330,80,68.1,25.9,25,89,24,4,26,0,0.52,18,48,-30,-1.16,0.82,20.8,38.5,-17.6,-0.68,0.52,5e+06,1.4e+07,4238,"Huddersfield",56,"Central Midfield",1,"Same Transfer","Premier League","Premier League_Premier League"
14,-533333.333333334,"https://www.transfermarkt.com/aaron-ramsdale/profil/spieler/427568",2020,"zzzinitial value","Premier League","Aaron Ramsdale","ENG","GK",21,1998,37,4,3,4,0,0,3,3,100,0,0,0,0,0,4,25,1,"https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale",3,0.08,2,1,0,0,0,0,1,0.03,1,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,17,10,4,71.4,675,1136,59.4,20764,15997,124,128,96.9,308,310,99.4,242,689,35.1,1,0.7,0.1,0.3,2,20,1,1,0,1136,707,424,136,0,2,1,0,0,0,0,0,675,5,2,1246,1088,1232,13,1,0,1246,0,0,NA,0,NA,662,4021,2641,0,0,0,0,0,403,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,37,37,3330,37,0,1,0,0,0,0.7,0.7,0,0,0,0,0.03,0.03,0,0.03,0,0.02,0.02,0,0.02,37,3330,90,97.4,37,37,90,37,0,NA,0,0.92,40,62,-22,-0.59,2.41,44.4,60.2,-15.8,-0.43,1.23,12500000,12500000,7919,"Bournemouth",136,"Goalkeeper",2,"Same Transfer","Premier League","Premier League_Premier League"
15,18450549.4505495,"https://www.transfermarkt.com/aaron-ramsdale/profil/spieler/427568",2021,"zzzinitial value","Premier League","Aaron Ramsdale","ENG","GK",22,1998,38,1,1,1,0,0,1,1,100,0,0,0,0,2,3,22,6,"https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale",8,0.21,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,1,0,1,0,25,8,3,72.7,569,1153,49.3,22218,19232,71,73,97.3,176,179,98.3,318,889,35.8,0,0.1,0.1,-0.1,2,44,1,0,0,1153,733,414,133,0,5,0,0,0,0,0,0,569,6,1,1274,1085,1261,12,2,2,1274,2,2,100,0,0,650,4462,2614,0,0,0,2,0,421,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,38,38,3420,38,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3420,90,100,38,38,90,38,0,NA,0,0.61,20,63,-43,-1.13,NA,32.6,62.2,-29.6,-0.78,NA,1.2e+07,1.2e+07,11772,"Sheffield Utd",80,"Goalkeeper",3,"Same Transfer","Premier League","Premier League_Premier League"
