"","PC1_diff","total_diff","PC3_diff","PC4_diff","PC2_diff","PrgDist_Carries","Recov","Err","Fls","plus_per__minus__Team.Success","Won_percent_Aerial","plus_per__minus_90_Team.Success","onxG_Team.Success..xG.","Def.3rd_Touches","Att_Medium","Rec_Receiving","Cmp_Outcomes","xGplus_per__minus__Team.Success..xG","On_minus_Off_Team.Success..xG","A_minus_xAG_Expected","Subs_Subs","xGplus_per__minus_90_Team.Success..xG","On_minus_Off_Team.Success","Att.Pen_Touches","G_per_Sh_Standard","Compl_Starts","Fld","Mn_per_MP_Playing.Time","Carries_Carries","Cmp_percent_Total","SoT_percent_Standard","Sh_per_90_Standard","npxG_Per","Won_Aerial","Cmp_Short","Nation","Cmp_percent_Medium","Cmp_Medium","PrgDist_Total","Tkl_percent_Challenges","Comp","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def.3rd_Tackles","Mid.3rd_Tackles","Att.3rd_Tackles","Tkl_Challenges","Att_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl.Int","Clr","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA","CrdY","CrdR","X2CrdY","Off","Crs","TklW","PKwon","PKcon","OG","Lost_Aerial","Cmp_Total","Att_Total","TotDist_Total","Att_Short","Cmp_percent_Short","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Off_Outcomes","Blocks_Outcomes","Touches_Touches","Def.Pen_Touches","Mid.3rd_Touches","Att.3rd_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","TotDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","PrgR_Receiving","Gls_Standard","Sh_Standard","SoT_Standard","SoT_per_90_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np.G_minus_xG_Expected","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","G.A","G_minus_PK","PK","PKatt","xAG_Expected","npxG.xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G.A_Per","G_minus_PK_Per","G.A_minus_PK_Per","xG_Per","xAG_Per","xG.xAG_Per","npxG.xAG_Per","MP_Playing.Time","Min_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","onxGA_Team.Success..xG","player_position","Comp_going","Comp_from_to"
"PC1_diff",693153.963080185,51212.027734483,42611.6147709658,36974.9308390682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"total_diff",51212.027734483,232634.04496908,11738.5372224675,0,11032.7561736053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PC3_diff",42611.6147709658,11738.5372224675,346190.293369557,10618.2335858768,8022.70401427025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PC4_diff",36974.9308390682,0,10618.2335858768,117122.136844919,14791.4466955542,0,0,2411.99697934529,4632.55735991601,16560.4683016577,3639.13743045884,0,0,0,13273.1273180654,0,0,17383.6935749665,0,0,0,0,0,0,1035.83236163008,0,3952.13453029646,0,0,0,0,3489.44267903175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PC2_diff",0,11032.7561736053,8022.70401427025,14791.4466955542,315172.6627315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PrgDist_Carries",0,0,0,0,0,158507.998715677,67164.0504514383,61302.6330404272,43184.9813282111,0,34077.2665360748,3668.51051660096,11765.8950632903,0,16779.6161009353,2666.19942604054,1816.4202319419,0,3325.9932512051,4776.14009685018,6496.24344809523,4258.38435199553,4462.54956021133,3351.68423193181,0,4402.77624048057,9257.3077082617,10410.9774491332,0,0,2974.30152448481,0,1035.22131603892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Recov",0,0,0,0,0,67164.0504514383,95699.0405781614,11066.2305377511,2505.08813486516,0,0,1970.35683758433,3485.27933224776,26128.3660834449,0,315.400095351898,0,0,2952.03781561731,0,11599.9628132896,6558.01662220295,1021.86482401918,2582.9478272202,0,3529.57226724201,8154.99930022751,18743.3578189644,2230.06004993543,2104.63032846952,1763.22752239731,0,271.981280810198,10678.3076084879,5255.45540409042,0,3944.1986789935,1777.54685439056,1621.8667504512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Err",0,0,0,2411.99697934529,0,61302.6330404272,11066.2305377511,123093.44340448,0,4600.81518983392,21875.1526837454,2111.1177179715,1503.59002268146,23858.5182238788,15121.4748847162,4520.98663475292,5359.41078325572,19750.9008312315,1876.63398121413,8257.02037505111,3106.01669697439,5934.99349707323,2223.50658470001,929.898876300348,2343.17354590174,5008.76060005898,4057.60759535487,10765.7250402259,5721.48889869443,6857.95275971689,3302.84411566693,1829.64842759121,6209.45806208475,18716.6393774098,2290.1909655787,0,2693.62165597269,6310.58873612114,5554.4529735301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fls",0,0,0,4632.55735991601,0,43184.9813282111,2505.08813486516,0,259251.572747142,4802.67807716944,17910.7895465611,17839.4736176699,1119.67625864664,1334.92321804798,5159.1253989678,1386.53338037111,2090.446109894,5275.2501055317,6189.14219104865,3936.68811383688,3778.801365486,7566.52373439772,2483.77722550982,6690.93338997368,7090.94643062588,3778.45713268276,6887.94263106439,4319.37763557669,963.553550271604,5380.03471605534,5504.17164198206,3244.52691540236,623.892098215125,3944.2771619805,3345.27682600779,0,4427.65021062572,11129.5642533678,1409.5304780883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"plus_per__minus__Team.Success",0,0,0,16560.4683016577,0,0,0,4600.81518983392,4802.67807716944,242154.872822414,45169.4087643718,25471.5770624263,2037.59763549736,0,0,0,0,0,21873.3064818542,0,0,11392.9271550331,19815.2675884141,0,9502.11100078051,0,11054.5597384183,0,0,0,0,7710.59530637078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
