"Transfer_Value","Comp","Nation","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def.3rd_Tackles","Mid.3rd_Tackles","Att.3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl.Int","Clr","Err","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA","CrdY","CrdR","X2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Touches_Touches","Def.Pen_Touches","Def.3rd_Touches","Mid.3rd_Touches","Att.3rd_Touches","Att.Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np.G_minus_xG_Expected","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","G.A","G_minus_PK","PK","PKatt","xAG_Expected","npxG.xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G.A_Per","G_minus_PK_Per","G.A_minus_PK_Per","xG_Per","xAG_Per","xG.xAG_Per","npxG_Per","npxG.xAG_Per","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Compl_Starts","Subs_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","On_minus_Off_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","On_minus_Off_Team.Success..xG","player_position","Comp_going","Comp_from_to","gb_age","PC1_diff","PC2_diff","PC3_diff","PC4_diff","total_diff"
-1809523.80952381,"Premier League","BRA",24.6,52,39,38,8,6,33,66,50,33,25,6,19,33,85,74,0,30,1.22,22,6,0,1,1,0,4,0.16,3,0,0,1,0,0,7,0,0,29,42,2,75,39,0,0,0,153,18,19,48.6,583,877,66.5,10215,3529,272,323,84.2,242,339,71.4,57,162,35.2,1,1.2,1.3,-0.2,13,25,14,8,31,877,684,189,44,0,3,75,130,15,12,2,0,583,4,29,1143,96,478,418,263,21,1143,39,16,41,14,35.9,546,2834,1379,24,15,2,18,13,535,70,0,15,0,0,0.61,0,0,0,19.9,2,0,0,1,1,0.06,-1,-1,28,26,2214,24.6,0,1,0,0,0,1.2,2.1,24,31,70,0,0.04,0.04,0,0.04,0.04,0.05,0.09,0.04,0.09,28,2214,79,64.7,24.6,26,16,2,2,1.11,29,48,-19,-0.77,0.05,27,41.1,-14.1,-0.57,0.23,"Left-Back","Ligue 1","Premier League_Ligue 1","0",8.39654030930442,-0.158505886560762,-3.73964160148185,-0.904960167072326,13.1996479644194
-6e+06,"Bundesliga","ESP",1.7,2,2,1,0,1,2,3,66.7,1,1,0,1,1,3,2,0,6,3.55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13,2,0,0,0,5,1,4,20,90,108,83.3,1395,389,41,48,85.4,44,51,86.3,1,3,33.3,0,0.7,1.2,-0.7,3,3,7,5,9,108,95,13,0,0,0,13,13,0,0,0,0,90,0,4,127,1,19,52,56,4,127,4,2,50,2,50,82,597,297,11,9,2,5,0,96,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,152,1.7,0,0,0,0,0,0.7,0.7,11,9,30,0,0,0,0,0,0,0.39,0.39,0,0.39,3,152,51,5,1.7,2,0,1,13,3,3,1,2,1.18,-0.86,4,1.7,2.3,1.37,-0.16,"Right-Back","La Liga","Bundesliga_La Liga","0",-2.6936559053639,0.635628024578496,2.38341465012773,3.56390669719752,9.27660527726765
-2071824.00932401,"Bundesliga","GER",6.7,14,8,10,4,0,9,11,81.8,2,5,3,2,5,19,26,0,1,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,1,0,8,0,1,0,38,19,8,70.4,424,477,88.9,8155,2936,132,146,90.4,258,264,97.7,33,58,56.9,0,0,0.1,0,0,12,2,0,19,477,460,16,11,0,3,0,4,0,0,0,0,424,1,4,549,48,306,228,15,9,549,1,0,0,1,100,325,1206,463,1,0,0,2,0,397,4,0,5,1,20,0.75,0.15,0,0,15,0,0,0,0.3,0.3,0.06,-0.3,-0.3,8,7,600,6.7,0,0,0,0,0,0,0.3,1,19,4,0,0,0,0,0,0.05,0,0.05,0.05,0.05,8,600,75,19.6,6.7,7,5,1,2,1.38,13,11,2,0.3,0.63,12.9,12.1,0.8,0.12,0.1,"Centre-Back","Bundesliga","Bundesliga_Bundesliga","0",-0.813854495343943,-1.5938731730596,0.00122251556453701,2.67782598568894,5.08677616965701
-240404.04040404,"La Liga","ESP",2.6,6,4,3,3,0,2,8,25,6,2,0,2,3,9,8,0,5,1.93,4,0,1,0,0,0,1,0.39,1,0,0,0,0,0,1,0,0,6,0,0,2,4,0,0,0,9,2,1,66.7,84,101,83.2,1541,550,43,49,87.8,31,36,86.1,10,14,71.4,0,0,0,0,1,9,1,0,8,101,89,10,2,0,1,2,8,0,0,0,0,84,2,0,128,8,49,63,17,1,128,5,2,40,3,60,60,297,172,3,2,1,2,2,78,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,233,2.6,0,0,0,0,0,0,0,3,8,3,0,0,0,0,0,0,0.01,0.01,0,0.01,3,233,78,6.8,2.6,2,1,1,10,1.33,5,4,1,0.39,0.22,4.3,2.6,1.7,0.65,0.7,"Left-Back","La Liga","La Liga_La Liga","0",-6.35043196272138,0.718667324674372,-4.90324217346081,0.209726795767201,12.1820682566238
-4375000,"Premier League","TUR",5.9,14,9,10,4,0,7,10,70,3,9,8,1,7,21,30,0,2,0.34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,4,0,0,9,0,0,0,42,24,16,60,241,309,78,4320,1537,104,115,90.4,112,136,82.4,22,48,45.8,0,0.1,0,-0.1,1,9,0,0,12,309,292,14,12,0,5,0,0,0,0,0,0,241,3,2,382,71,226,147,12,7,382,1,1,100,0,0,185,1096,601,5,1,0,2,0,203,0,1,5,2,40,0.85,0.34,0.2,0.5,9.5,0,0,0,0.4,0.4,0.08,0.6,0.6,7,6,529,5.9,1,1,1,0,0,0.1,0.5,5,12,0,0.17,0,0.17,0.17,0.17,0.07,0.01,0.08,0.07,0.08,7,529,76,15.5,5.9,6,5,1,15,1.14,9,13,-4,-0.68,-0.28,13.2,9.9,3.3,0.56,1.06,"Centre-Back","La Liga","Premier League_La Liga","0",4.44750641838474,1.05487776946004,-2.41020593345819,0.638126240059013,8.55071636136198
-3307305.54945801,"Serie A","NED",33.7,31,22,14,17,0,14,23,60.9,9,43,24,19,71,102,156,1,21,0.62,18,0,0,2,1,0,2,0.06,2,0,0,0,0,0,3,0,0,19,10,1,0,22,0,2,0,245,44,24,64.7,1409,1546,91.1,27794,10144,462,487,94.9,760,792,96,167,233,71.7,0,0.3,0.4,-0.3,5,78,4,0,86,1546,1503,38,35,1,4,0,3,0,0,0,0,1409,5,4,1866,204,1025,831,29,21,1866,9,8,88.9,1,11.1,1080,7235,4131,15,4,1,8,3,1089,1,6,14,7,50,0.42,0.21,0.43,0.86,12.8,0,0,0,2.1,2.1,0.15,3.9,3.9,36,36,3034,33.7,6,6,6,0,0,0.3,2.4,15,86,1,0.18,0,0.18,0.18,0.18,0.06,0.01,0.07,0.06,0.07,36,3034,84,88.7,33.7,36,29,0,1,1.83,74,42,32,0.95,-0.92,55.3,39.2,16.1,0.48,-0.39,"Centre-Back","Serie A","Serie A_Serie A","0",1.81363437670499,2.52137247949698,-4.3966161350623,2.43393459636605,11.1655575876303
0,"Serie A","ITA",10,19,11,10,4,5,7,19,36.8,12,8,1,7,6,25,32,0,20,1.99,16,3,1,0,0,0,1,0.1,1,0,0,0,0,0,3,1,0,14,9,1,44,11,0,2,0,40,7,10,41.2,329,475,69.3,5259,2266,167,192,87,136,193,70.5,19,55,34.5,0,0.9,0.9,-0.9,10,19,13,8,33,475,360,112,4,0,1,44,108,0,0,0,0,329,3,23,579,23,142,268,178,6,579,19,13,68.4,6,31.6,300,1563,776,22,17,2,9,18,337,46,0,7,1,14.3,0.7,0.1,0,0,26.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,15,10,903,10,0,0,0,0,0,0.9,1.1,22,33,46,0,0,0,0,0,0.02,0.09,0.11,0.02,0.11,15,903,60,26.4,10,10,5,5,21,0.87,13,21,-8,-0.8,-0.55,11.1,13.7,-2.6,-0.26,-0.14,"Left-Back","Serie A","Serie A_Serie A","0",-1.41796287079442,-0.358786546964679,0.599057058228972,0.0693241728505265,2.4451306488386
-1175683.29106791,"Ligue 1","FRA",31.5,52,35,40,12,0,20,33,60.6,13,45,25,20,36,88,184,2,13,0.41,10,2,0,0,1,0,1,0.03,0,0,0,0,1,0,7,0,0,36,25,6,0,35,1,1,3,249,73,60,54.9,1108,1355,81.8,25515,9124,292,335,87.2,555,621,89.4,250,364,68.7,0,0,0.3,0,0,95,1,0,85,1355,1289,59,58,0,26,0,1,0,0,0,0,1108,7,9,1720,201,908,783,42,27,1720,9,9,100,0,0,713,4435,2270,12,5,0,12,2,889,2,4,18,10,55.6,0.57,0.32,0.22,0.4,9.5,0,0,0,1.7,1.7,0.09,2.3,2.3,32,32,2836,31.5,4,4,4,0,0,0,1.7,12,85,2,0.13,0,0.13,0.13,0.13,0.05,0,0.05,0.05,0.05,32,2836,89,82.9,31.5,32,30,0,0,0.97,23,45,-22,-0.7,-0.24,36.1,38.9,-2.8,-0.09,0.28,"Centre-Back","Ligue 1","Ligue 1_Ligue 1","0",3.81503727255614,-5.37844382898752,1.92170454629532,-0.797510375129792,11.9126960229688
-1e+06,"Serie A","ITA",16.5,34,24,19,13,2,16,41,39,25,30,11,19,15,49,37,0,28,1.7,18,2,4,4,0,0,4,0.24,2,0,1,1,0,0,7,0,0,21,11,4,37,24,0,0,0,85,14,21,40,394,592,66.6,7297,3426,167,205,81.5,167,237,70.5,53,112,47.3,3,1,0.7,2,11,34,20,9,54,592,451,137,7,1,6,37,130,0,0,0,0,394,4,15,770,55,226,335,213,27,770,16,7,43.8,9,56.3,322,1217,549,11,9,2,12,4,341,33,2,20,5,25,1.21,0.3,0.1,0.4,18.6,0,0,0,2.7,2.7,0.14,-0.7,-0.7,23,19,1485,16.5,2,5,2,0,0,1,3.7,11,54,33,0.12,0.18,0.3,0.12,0.3,0.17,0.06,0.23,0.17,0.23,23,1485,65,43.4,16.5,19,8,4,3,0.88,12,36,-24,-1.45,-1.27,16.4,26.4,-10,-0.61,-0.42,"Right-Back","Serie A","Serie A_Serie A","0",8.18446049555509,-0.707209341881765,-1.96432411989935,1.57373640648746,12.4297303638237
-4153333.33333333,"Serie A","URU",18.1,38,29,19,16,3,18,32,56.3,14,17,7,10,45,83,60,1,25,1.38,20,0,1,1,2,1,3,0.17,3,0,0,0,0,0,5,0,0,29,15,3,10,29,0,0,0,96,58,33,63.7,943,1119,84.3,17677,6058,349,383,91.1,452,505,89.5,120,176,68.2,1,1,1,0,10,91,13,4,101,1119,1081,33,30,2,7,10,3,0,0,0,0,943,5,11,1317,126,534,691,101,18,1317,15,15,100,0,0,781,4679,3104,32,28,1,10,11,895,8,1,11,2,18.2,0.61,0.11,0.09,0.5,13.3,0,0,0,0.9,0.9,0.08,0.1,0.1,23,18,1628,18.1,1,2,1,0,0,1,1.9,32,101,8,0.06,0.06,0.11,0.06,0.11,0.05,0.05,0.1,0.05,0.1,23,1628,71,47.6,18.1,18,12,5,13,2.04,30,15,15,0.83,-0.68,27.3,21.1,6.3,0.35,-0.78,"Centre-Back","Serie A","Serie A_Serie A","0",-7.21603807526761,-1.21146092698767,1.92925295736163,-1.2577935053905,11.6145454650074
