"Transfer_Value","Comp","Nation","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def.3rd_Tackles","Mid.3rd_Tackles","Att.3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl.Int","Clr","Err","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA","CrdY","CrdR","X2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Touches_Touches","Def.Pen_Touches","Def.3rd_Touches","Mid.3rd_Touches","Att.3rd_Touches","Att.Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np.G_minus_xG_Expected","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","G.A","G_minus_PK","PK","PKatt","xAG_Expected","npxG.xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G.A_Per","G_minus_PK_Per","G.A_minus_PK_Per","xG_Per","xAG_Per","xG.xAG_Per","npxG_Per","npxG.xAG_Per","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Compl_Starts","Subs_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","On_minus_Off_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","On_minus_Off_Team.Success..xG","player_position","Comp_going","Comp_from_to","gb_age","PC1_diff","PC2_diff","PC3_diff","PC4_diff","total_diff"
-1473076.92307692,"Premier League","SEN",21.9,52,38,28,22,2,18,39,46.2,21,40,14,26,38,90,39,0,15,0.68,13,0,1,0,0,1,1,0.05,1,0,0,0,0,0,3,0,0,30,21,0,4,38,0,0,0,136,50,29,63.3,656,804,81.6,10088,2834,338,390,86.7,253,308,82.1,36,58,62.1,1,0.8,1,0.2,5,44,3,1,54,804,786,18,17,0,0,4,1,0,0,0,0,656,0,9,1058,72,389,581,100,7,1058,17,13,76.5,4,23.5,477,1839,778,7,7,0,30,11,529,9,0,7,0,0,0.32,0,0,0,21.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5,27,23,1974,21.9,0,1,0,0,0,0.8,1.3,7,54,9,0,0.05,0.05,0,0.05,0.02,0.04,0.06,0.02,0.06,27,1974,73,57.7,21.9,23,14,4,6,1.33,27,28,-1,-0.05,-0.36,24.2,25.8,-1.6,-0.07,-0.53,"Defensive Midfield","Premier League","Premier League_Premier League","0",-5.86625496539845,-0.968992367720295,0.646194863939301,-1.60229584395324,9.08373804101128
-8032840.23668639,"Bundesliga","SEN",32,57,43,46,10,1,40,64,62.5,24,49,29,20,57,114,238,6,39,1.22,30,3,0,4,0,2,3,0.09,3,0,0,0,0,0,6,0,0,35,36,1,4,43,0,1,0,217,174,41,80.9,1459,1813,80.5,30484,12944,414,486,85.2,799,898,89,227,374,60.7,1,0.6,1.5,0.4,10,98,7,1,138,1813,1668,139,127,1,15,4,12,0,0,0,0,1459,6,22,2258,294,1212,989,88,39,2258,18,15,83.3,3,16.7,1142,6952,4057,33,4,2,26,13,1166,13,4,28,10,35.7,0.88,0.31,0.14,0.4,18.1,2,0,0,1.9,1.9,0.07,2.1,2.1,32,32,2879,32,4,5,4,0,0,0.6,2.5,33,138,13,0.13,0.03,0.16,0.13,0.16,0.06,0.02,0.08,0.06,0.08,32,2879,90,94.1,32,32,31,0,0,1.13,43,53,-10,-0.31,-0.31,43.2,53.1,-9.9,-0.31,0.23,"Centre-Back","Bundesliga","Bundesliga_Bundesliga","0",1.7310159939874,-1.69514241946175,-0.361473673700896,-2.27797367483886,6.0656057619889
1773268.3982684,"Bundesliga","AUT",0.5,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,3,1,0,100,45,52,86.5,831,347,17,19,89.5,22,26,84.6,5,6,83.3,0,0.2,0.2,-0.2,3,9,4,4,8,52,47,5,1,0,0,6,4,0,0,0,0,45,0,1,59,1,7,39,14,0,59,3,0,0,3,100,35,123,80,1,1,0,1,0,43,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45,0.5,0,0,0,0,0,0.2,0.2,1,8,7,0,0,0,0,0,0,0.31,0.31,0,0.31,1,45,45,1.5,0.5,0,0,1,6,0,1,0,1,2,0.12,1,0.3,0.6,1.3,0,"Centre-Back","Bundesliga","Bundesliga_Bundesliga","0",-8.74986209142378,-2.8225018040031,2.36103094499751,-1.5658553492223,15.4992501896467
-437500,"Bundesliga","POL",0.7,0,0,0,0,0,0,3,0,3,0,0,0,1,1,0,0,4,5.9,3,0,0,0,1,0,2,2.95,1,0,0,0,1,0,1,0,0,4,1,0,2,0,0,0,0,3,0,1,0,13,19,68.4,165,21,6,8,75,5,7,71.4,0,0,0,0,0.1,0,-0.1,1,1,0,0,1,19,17,2,0,0,0,2,2,0,0,0,0,13,0,2,26,1,1,16,11,2,26,2,1,50,1,50,21,188,110,6,5,1,1,1,21,5,0,1,0,0,1.48,0,0,0,33.8,0,0,0,0,0,0.02,0,0,5,0,61,0.7,0,0,0,0,0,0.1,0.1,6,1,5,0,0,0,0,0,0.04,0.09,0.12,0.04,0.12,5,61,12,2,0.7,0,0,5,7,1.8,2,1,1,1.48,1.75,1.1,1.3,-0.2,-0.34,-0.03,"Left Winger","Bundesliga","Bundesliga_Bundesliga","0",-0.532184979784631,0.266492869318878,4.35602662051154,0.727307237757174,5.88201170737223
-1148741.25874126,"Ligue 1","CHA",27.4,53,30,23,21,9,20,49,40.8,29,22,1,21,22,75,12,0,54,1.97,36,0,9,2,7,0,3,0.11,3,0,0,0,0,0,9,0,0,64,35,16,52,30,0,0,0,146,30,68,30.6,384,542,70.8,5700,1048,229,276,83,109,152,71.7,28,65,43.1,3,2.5,2.1,0.5,24,14,14,6,27,542,520,21,0,3,4,52,19,0,0,0,0,384,1,29,1014,9,144,419,482,79,1013,126,52,41.3,74,58.7,649,6195,2667,95,97,23,125,86,648,185,6,52,17,32.7,1.9,0.62,0.1,0.29,18.1,0,1,1,5.6,4.8,0.09,0.4,0.2,33,28,2468,27.4,6,9,5,1,1,2.5,7.3,95,27,185,0.22,0.11,0.33,0.18,0.29,0.2,0.09,0.3,0.18,0.27,33,2468,75,72.2,27.4,28,16,5,2,0.85,20,36,-16,-0.58,0.27,22,46.2,-24.2,-0.88,-0.06,"Centre-Forward","Ligue 1","Ligue 1_Ligue 1","0",1.04137515711322,-8.0970701133229,-6.33746121015152,-3.72259830376236,19.19850478435
-3087404.90278952,"La Liga","ALG",26.6,30,17,20,10,0,10,16,62.5,6,21,13,8,39,69,90,0,9,0.34,8,0,0,1,0,0,2,0.08,1,0,0,1,0,0,6,2,1,20,13,2,1,17,0,2,0,129,41,25,62.1,1387,1526,90.9,27767,10336,450,484,93,748,785,95.3,173,228,75.9,1,0.8,0.2,0.2,4,46,1,0,62,1526,1459,66,61,0,9,1,3,0,0,0,0,1387,1,6,1734,180,867,837,37,21,1734,2,2,100,0,0,1053,4257,2214,5,5,0,7,2,1224,3,3,8,7,87.5,0.3,0.26,0.38,0.43,6.3,0,0,0,2.1,2.1,0.26,0.9,0.9,28,27,2392,26.6,3,4,3,0,0,0.8,2.9,5,62,3,0.11,0.04,0.15,0.11,0.15,0.08,0.03,0.11,0.08,0.11,28,2392,85,69.9,26.6,27,25,1,5,1.57,37,31,6,0.23,0.75,36.3,30.4,5.9,0.22,0.54,"Centre-Back","La Liga","La Liga_La Liga","0",3.97880721698937,-2.10645235695685,0.231675807170492,-0.549087615057934,6.86602299617465
0,"Premier League","NED",17.7,42,33,33,8,1,21,34,61.8,13,17,9,8,31,73,74,1,19,1.07,17,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,18,13,0,17,33,0,0,0,97,19,22,46.3,536,746,71.8,9128,4060,254,294,86.4,220,290,75.9,47,132,35.6,0,0.3,0.4,-0.3,6,53,9,4,56,746,621,122,8,0,4,17,114,0,0,0,0,536,3,13,937,71,343,467,137,6,937,18,11,61.1,7,38.9,450,2100,1166,25,10,3,14,6,458,31,0,8,0,0,0.45,0,0,0,26.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,21,17,1596,17.7,0,0,0,0,0,0.3,0.6,25,56,31,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,21,1596,76,46.7,17.7,17,15,4,9,0.81,12,29,-17,-0.96,-1.3,26.4,24.6,1.8,0.1,-0.07,"Right-Back","Premier League","Premier League_Premier League","0",0.853943069651281,-1.55552451666524,-1.81889831393836,3.26527141708559,7.49363731734047
-4932375.3169907,"Premier League","BRA",14.8,17,12,4,11,2,6,21,28.6,15,11,1,10,7,24,4,0,62,4.19,47,4,3,6,2,0,8,0.54,6,0,1,1,0,0,0,0,0,8,20,4,18,12,0,0,0,53,5,17,22.7,531,655,81.1,8091,2160,292,340,85.9,175,205,85.4,38,61,62.3,3,2.9,1.7,0.1,25,71,16,3,94,655,615,35,7,3,2,18,3,6,3,3,0,531,5,9,815,7,57,441,330,47,815,43,21,48.8,22,51.2,568,3066,1595,48,36,9,35,20,632,62,5,43,16,37.2,2.91,1.08,0.12,0.31,21.2,6,0,0,3.8,3.8,0.09,1.2,1.2,19,16,1329,14.8,5,8,5,0,0,2.9,6.7,48,94,62,0.34,0.2,0.54,0.34,0.54,0.25,0.2,0.45,0.25,0.45,19,1329,70,38.9,14.8,16,5,3,0,1.21,21,17,4,0.27,0.53,19.6,18.3,1.3,0.09,0.36,"Attacking Midfield","La Liga","Premier League_La Liga","0",-0.0845173840154178,-1.30920071806202,1.73604950377584,1.80891573544406,4.93868334129734
-6400000,"Premier League","ENG",11.9,23,19,15,5,3,15,32,46.9,17,20,4,16,27,50,35,0,16,1.34,11,2,0,1,0,2,2,0.17,1,0,0,1,0,0,3,0,0,12,7,0,9,19,0,0,1,69,11,14,44,521,654,79.7,8116,3439,291,329,88.4,194,238,81.5,32,57,56.1,0,0.7,0.5,-0.7,5,38,7,2,48,654,519,133,17,3,1,9,116,0,0,0,0,521,2,22,786,39,319,359,115,3,786,12,6,50,5,41.7,355,1374,610,10,8,1,9,8,414,13,0,3,0,0,0.25,0,0,0,16.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,17,11,1073,11.9,0,0,0,0,0,0.7,0.8,10,48,13,0,0,0,0,0,0.01,0.06,0.07,0.01,0.07,17,1073,63,31.4,11.9,11,8,6,19,0.88,14,20,-6,-0.5,-0.08,16.8,23.2,-6.4,-0.54,-0.29,"Left-Back","Premier League","Premier League_Premier League","0",-6.10821858902169,-0.141423189854499,-1.10848887186933,-1.18306160302512,8.54119225377064
-1785714.28571429,"La Liga","COL",12.4,15,10,13,2,0,9,13,69.2,4,11,8,3,17,32,37,0,6,0.48,4,0,0,1,1,0,0,0,0,0,0,0,0,0,5,1,0,13,13,0,1,10,0,1,0,61,31,33,48.4,621,699,88.8,12920,4108,174,186,93.5,346,371,93.3,92,126,73,0,0,0.1,0,1,47,0,0,46,699,674,23,22,0,6,1,1,0,0,0,0,621,2,2,806,70,346,444,17,8,806,3,3,100,0,0,501,2443,1532,9,6,0,2,3,553,3,0,6,1,16.7,0.48,0.08,0,0,15.8,0,0,0,0.5,0.5,0.08,-0.5,-0.5,19,12,1117,12.4,0,0,0,0,0,0,0.5,9,46,3,0,0,0,0,0,0.04,0,0.04,0.04,0.04,19,1117,59,32.7,12.4,12,8,7,12,1,12,22,-10,-0.81,-1.2,13.6,17.8,-4.2,-0.34,-0.41,"Centre-Back","Serie A","La Liga_Serie A","0",-4.66200798543398,-3.14692447322288,-1.20890226308689,-0.0552627764347371,9.07309749817849
